,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,amapa,75,HN,1553252400,94,15.09,-87.97,295.15,1.11
1,tasiilaq,80,GL,1553251800,85,65.61,-37.64,265.15,2.1
2,santa cruz,75,US,1553254093,93,36.97,-122.03,282.59,1.5
3,lorengau,88,PG,1553254126,97,-2.02,147.27,301.48,4.31
4,nome,1,US,1553254112,87,30.04,-94.42,286.48,1.21
5,ushuaia,90,AR,1553252400,87,-54.81,-68.31,280.15,2.6
6,touros,20,BR,1553252400,100,-5.2,-35.46,299.15,2.1
7,louisbourg,,,,,,,,
8,busselton,0,AU,1553254005,43,-33.64,115.35,290.93,11.21
9,jamestown,44,AU,1553254127,86,-33.21,138.6,290.43,1.41
10,narsaq,75,GL,1553251800,39,60.91,-46.05,261.15,6.7
11,ponta delgada,20,PT,1553254108,82,37.73,-25.67,289.15,2.6
12,kodinsk,92,RU,1553254128,72,58.6,99.18,274.93,4.66
13,srednekolymsk,0,RU,1553254128,38,67.46,153.71,248.68,1.31
14,tyret pervaya,0,RU,1553254128,79,53.67,102.31,268.28,2.96
15,saleaula,,,,,,,,
16,wattegama,56,LK,1553254129,95,7.35,80.68,297.78,0.86
17,burns lake,44,CA,1553254129,78,54.23,-125.76,270.48,0.96
18,kadykchan,,,,,,,,
19,yambio,,,,,,,,
20,cherskiy,0,RU,1553254130,30,68.75,161.3,243.68,1.31
21,hithadhoo,32,MV,1553254130,100,-0.6,73.08,303.03,2.86
22,norman wells,20,CA,1553252400,79,65.28,-126.83,266.15,7.2
23,usagara,20,TZ,1553248800,45,-2.68,32.99,303.15,5.1
24,punta arenas,75,CL,1553253794,81,-53.16,-70.91,282.15,5.1
25,mataura,88,NZ,1553253605,87,-46.19,168.86,290.37,2.86
26,pandan,0,PH,1553254131,94,11.72,122.09,300.78,5.36
27,port alfred,92,ZA,1553253874,76,-33.59,26.89,297.04,0.45
28,kapaa,40,US,1553254093,73,22.08,-159.32,296.15,5.7
29,matara,90,PE,1553252400,65,-13.74,-72.9,281.15,0.56
30,khagrachari,,,,,,,,
31,lasa,20,CY,1553253373,64,34.92,32.53,295.15,1
32,taolanaro,,,,,,,,
33,upernavik,32,GL,1553254133,100,72.79,-56.15,247.93,2.86
34,husavik,0,CA,1553253950,91,50.56,-96.99,268.71,1.26
35,dikson,8,RU,1553254133,98,73.51,80.55,256.48,3.41
36,grindavik,75,IS,1553252400,74,63.84,-22.43,275.15,8.2
37,illoqqortoormiut,,,,,,,,
38,mrirt,,,,,,,,
39,plerin,0,FR,1553253630,71,48.54,-2.78,287.15,0.5
40,puerto ayora,8,EC,1553254134,100,-0.74,-90.35,297.08,1.21
41,clyde river,90,CA,1553252400,74,70.47,-68.59,241.15,2.6
42,hobart,75,AU,1553253976,77,-42.88,147.33,291.15,3.1
43,saint-augustin,0,FR,1553254033,39,44.83,-0.61,292.59,1.5
44,longyearbyen,90,NO,1553251800,79,78.22,15.63,270.15,4.6
45,rikitea,44,PF,1553254136,100,-23.12,-134.97,298.98,6.31
46,salalah,40,OM,1553248200,65,17.01,54.1,301.15,5.1
47,arti,36,RU,1553254136,87,56.43,58.53,277.03,2.86
48,palmas,68,BR,1553254136,97,-10.18,-48.33,298.03,2.11
